lead_id,first_name,last_name,email,phone_number,source,status,created_at,assigned_to,region
957236d3-7d1c-4367-947a-a082a931925c,Harper,Taylor,harper.taylor801@business.org,(783) 124-4991,Trade Show,Qualified,2023-03-13 10:41:26,125,North America
88ec0092-0b4b-4b03-9e4d-02bd4c13b452,Amelia,Garcia,amelia.garcia@business.org,+81 27 9640 1939,Website,Unqualified,2024-12-06 18:10:19,191,APAC
08d377f5-1201-4fa6-ac97-59f0e9946fa4,Elijah,Taylor,elijah.taylor@example.com,(552) 740-6352,Social Media,Contacted,2023-04-12 22:55:46,157,APAC
09a3c21f-d93b-438a-9b1d-6d5948c4cf5e,Charlotte,Wilson,charlotte.wilson@example.com,(704) 261-4694,Trade Show,Qualified,2023-07-30 09:35:04,164,APAC
d8567457-c448-432d-a7b9-d0c2bfcbbf9d,Alexander,Rodriguez,alexander.rodriguez@example.com,(719) 384-2504,Advertisement,New,2022-11-02 03:14:54,124,North America
78a67e7d-fe48-4834-a7e2-17d7648eef18,Ethan,Rodriguez,ethan.rodriguez@business.org,(237) 118-1133,Email Campaign,New,2023-09-21 11:37:04,122,EMEA
b92ecaf5-14d3-4cac-98ab-5f5ffcb62b92,Isabella,Martinez,isabella.martinez@company.com,(348) 465-7124,Social Media,Qualified,2023-11-05 09:31:21,112,EMEA
46fd1abb-451c-4725-bf39-ed3b5dcc56e4,Ava,Rodriguez,ava.rodriguez@mail.net,(340) 531-8013,Social Media,New,2025-11-24 22:30:25,159,North America
6bcf0b05-b0e6-4bcd-87c1-90fdddbbff75,Isabella,Miller,isabella.miller@business.org,+34 89 2473 1160,Website,Contacted,2024-02-11 12:58:21,169,North America
6bcedbae-e254-48a9-a5cc-583413da370f,Mason,Martin,mason.martin@business.org,(500) 964-6078,Website,Contacted,2024-09-12 03:58:00,166,APAC
3f78ddc1-d0ba-4a52-9200-16a59a93827d,Sophia,Williams,sophia.williams174@business.org,+44 46 7247 1899,Social Media,Contacted,2022-10-12 19:19:14,195,EMEA
4139b17d-353f-4bd8-a435-ef8e419446cd,Amelia,Davis,amelia.davis@company.com,(490) 179-6860,Trade Show,Contacted,2022-08-31 20:25:48,178,North America
193242da-2fc9-4664-82c9-dcd5552befce,Isabella,Hernandez,isabella.hernandez@corp.co,(386) 469-9473,Trade Show,Qualified,2022-04-30 20:56:39,150,APAC
31892d15-32e7-4eb4-af8d-e34cb6855569,Mia,Lopez,mia.lopez@example.com,(876) 191-8424,Referral,Unqualified,2022-01-09 15:14:58,195,North America
abc2c447-31ad-4636-9097-1b0a2fb05bd1,Alexander,Lopez,alexander.lopez@business.org,(735) 503-9785,Social Media,New,2023-08-06 09:22:19,169,North America
a2b3099d-c4ec-4174-9b4d-283fe351114f,Sophia,Williams,sophia.williams@mail.net,(298) 606-6401,Advertisement,Unqualified,2024-05-06 19:29:51,193,APAC
